question;answer;variant
У какого народа постоянная тихая улыбка является отличительной и характерной чертой этикета?;2;"1. У эфиопцев
2. У японцев
3. У украинцев"
На каком острове приняли закон, запрещающий вождение собачьей упряжки в нетрезвом виде?;1;"1. Гренландия
2. Мадагаскар
3. Исландия"
Как называется страна в Карибском море, где женщины говорят совсем на другом языке, чем представители сильного пола?;2;"1. Куба
2. Доминика
3. Барбадос"
В какой стране мужчину могут посадить в тюрьму, если у него нет бороды, по меньшей мере, в четыре сантиметра, на срок, пока она не отрастет?;3;"1. Иран
2. Ирак
3. Афганистан"
Под каким названием известен в Корее день рождения Будды?;1;"1. Праздник фонарей
2. Праздник любви
3. Праздник света"
Один из древнейших праздников — Цинмин, или праздник Холодной пищи и Чистого света. Первоначально это был весенний праздник Обновления огня. Наступление весны отмечалось зажжением нового огня с помощью зеркала, а старый огонь предварительно тушили, и в течение некоторого времени все ели только холодную пищу. В какой стране отмечают такой праздник?;3;"1. Тайланд
2. Филиппины
3. Китай"
Как в жарких испаноязычных странах и Италии называется полуденный послеобеденный отдых?;2;"1. Тихий час
2. Сиеста
3. Вакацыя"
В каком городе Баварии (Германия) проходит грандиозный осенний праздник пива «Октоберфест»?;1;"1. Мюнхен
2. Нюрнберг
3. Линдау"
В какой стране есть праздники Цветущей сакуры, Цветов и Кукол?;3;"1. Китай
2. Индонезия
3. Япония"
В какой стране есть обязательный день отдыха — суббота, когда запрещена любая работа?;1;"1. Израиль
2. Сингапур
3. Новая Зеландия"
В какой стране в древности сбривание волос на голове считалось настолько большим позором, что этим обрядом порой заменяли смертную казнь?;2;"1. Киевская Русь
2. Индия
3. Китай"
Во Франции и Германии верили, что колдуны и ведьмы после захода солнца превращаются в животных. В каких?;1;"1. В зайцев
2. В волков
3. В медведей"
Неизвестно когда и почему зародилась эта традиция, но она еще жива. В день летнего солнцестояния совершается обряд «умерщвления гусей». Участникам завязывают глаза, и они пытаются проткнуть гуся ножом. В какой европейской стране поддерживают эту традицию?;2;"1. Австрия
2. Швейцария
3. Лихтенштейн"
В какой стране один из самых популярных праздников — Дуаньу, или состязание «лодок-драконов»?;3;"1. Тайвань
2. Малайзия
3. Китай"
Праздник Пулиаджат в Индонезии — День совершеннолетия. Вся молодежь, достигшая совершеннолетия, вместо паспорта получает... Что?;2;"1. Ключи от квартиры
2. Татуировку
3. Путёвку на море"
