question;answer;variant
Шум от падения воды с водопада Виктория распространяется более, чем на 30 километров вокруг. Правда или миф?;1;"1. Правда
2. Миф"
Где располагается самый холодный вулкан в мире Ой Дойнио Легай? Температура лавы, которая извергается из кратера, в несколько раз ниже обычных вулканов;2;"1. Камчатка
2. Африка
3. Индонезия"
Какая самая большая страна Африки?;2;"1. Египет
2. Судан
3. Нигерия"
Какой самый маленький по площади материк планеты?;1;"1. Австралия
2. Антарктида
3. Северная Америка
4. Евразия"
Где находится самая глубокая изученная пещера в мире?;1;"1. Воронья пещера, Абхазия
2. Альтамира, Испания
3. Пещера Флинт-Ридж, США"
Какое из перечисленных морей самое теплое и соленое?;1;"1. Красное море
2. Эгейское море
3. Карибское море"
Какая страна самая солнечная в мире?;1;"1. Арабские Эмираты (ОАЭ) - Дубаи
2. Индонезия-Бали
3. Испания - Андалусия"
Где находится Марианская впадина?;1;"1. Тихий океан
2. Индийский океан
3. Южный океан"
Что отсчитывается от нулевого меридиана — долгота или широта?;1;"1. Долгота
2. Широта"
Какой город в Средней Азии за последние 30 лет сменил четыре названия?;2;"1. Ташкент
2. Астана
3. Ашхабад"
"Какой город вошел в Книгу рекордов Гиннеса как город с самым большим количеством зданий, отделанных белым мрамором?";1;"1. Ашхабад
2. Астана
3. Абу Даби"
В каком океане расположена точка с координатами 0 градусов широты и 0 градусов долготы?;3;"1. В Индийском океане
2. В Тихом океане
3. В Атлантическом океане "
Какой географический объект называется Лимпопо?;1;"1. Река
2. Гора
3. Страна"
По какому проливу суда попадают из Черного моря в Мраморное?;1;"1. Босфор
2. Бохайский залив
3. Пролив Дрейка"
На каком японском острове находится Токио?;1;"1. Хонсю
2. Хоккайдо
3. Хасима"
