question;answer;variant
Сколько длилась столетняя война?;3;"1. 99 лет
2. 100 лет
3. 116 лет"
Самая короткая война в истории человеческой цивилизации была между Англией и Занзибаром.Сколько часов это длилось?;1;"1. Менее часа
2. 1 час
3. 3 часа"
По легенде, братьев Ромула и Рема – основателей Древнего Рима, выкормила:;2;"1. Кошка
2. Волчица
3. Коза"
При императоре Александре II срок службы солдата в русской армии уменьшился на 19 лет и составил 72 месяца. Сколько лет служили в российской армии до этого?;3;"1. 20 лет
2. 22 года
3. 25 лет"
Арабские цифры были придуманы:;1;"1. Индусами
2. Евреями
3. Арабами"
Какое из Семи чудес света сохранилось до наших дней;1;"1. Пирамида Хеопса
2. Александрийский маяк
3. Висячие сады Семирамиды"
Кто из всех руководителей был единственным президентом СССР:;3;"1. Владимир Ильич Ленин
2. Михаил Сергеевич Горбачев
3. Леонид Ильич Брежнев"
Эти птицы по легенде однажды спасли Рим от варваров:;3;"1. Утки
2. Куры
3. Гуси"
Кто был личным врагом Гитлера №1:;2;"1. Иосиф Сталин
2. Юрий Левитан
3. Георгий Жуков"
Кому принадлежит высказывание “Пришел, увидел, победил”:";1;"1. Юлию Цезарю
2. Цицерону
3. Марку Аврелию"
Согласно греческим легендам, древние Олимпийские игры были организованы для поклонения одному определенному богу.Кто был этот Бог?;3;"1. Гефест
2. Аполлон
3. Зевс"
Первый человеческий тип, живший в старом каменном веке, называется:;2;"1. Кроманьонец
2. Неандерталец
3. Австралопитек"
Когда к власти пришел Папа Григорий IX, какое домашнее животное он приказал истреблять по всей Европе, считая, что они использовались для поклонения дьяволу и колдовства?;2;"1. Собак
2. Кошек
3. Крыс"
Первые бумажные деньги были выпущены в:;3;"1. Египте
2. Швеции
3. Китае"
Как называлась болезнь, поразившая и убившая треть населения Европы в 14 веке?;1;"1. Бубонная чума
2. Холера
3. Оспа"
